"","educ","conpress"
"1",16,NA
"2",10,NA
"3",12,NA
"4",17,NA
"5",12,NA
"6",14,NA
"7",13,NA
"8",16,NA
"9",12,NA
"10",12,NA
"11",13,NA
"12",6,NA
"13",9,NA
"14",8,NA
"15",9,NA
"16",14,NA
"17",14,NA
"18",8,NA
"19",17,NA
"20",14,NA
"21",12,NA
"22",11,NA
"23",13,NA
"24",12,NA
"25",16,NA
"26",12,NA
"27",12,NA
"28",12,NA
"29",12,NA
"30",9,NA
"31",6,NA
"32",14,NA
"33",16,NA
"34",8,NA
"35",12,NA
"36",14,NA
"37",13,NA
"38",10,NA
"39",6,NA
"40",12,NA
"41",8,NA
"42",14,NA
"43",8,NA
"44",8,NA
"45",8,NA
"46",12,NA
"47",14,NA
"48",12,NA
"49",9,NA
"50",8,NA
"51",10,NA
"52",14,NA
"53",9,NA
"54",12,NA
"55",10,NA
"56",12,NA
"57",14,NA
"58",12,NA
"59",12,NA
"60",11,NA
"61",12,NA
"62",9,NA
"63",12,NA
"64",11,NA
"65",12,NA
"66",8,NA
"67",12,NA
"68",12,NA
"69",12,NA
"70",16,NA
"71",7,NA
"72",12,NA
"73",8,NA
"74",11,NA
"75",12,NA
"76",16,NA
"77",10,NA
"78",8,NA
"79",14,NA
"80",12,NA
"81",7,NA
"82",12,NA
"83",15,NA
"84",15,NA
"85",14,NA
"86",17,NA
"87",20,NA
"88",18,NA
"89",17,NA
"90",14,NA
"91",16,NA
"92",12,NA
"93",13,NA
"94",14,NA
"95",16,NA
"96",14,NA
"97",15,NA
"98",16,NA
"99",15,NA
"100",12,NA
"101",9,NA
"102",13,NA
"103",12,NA
"104",15,NA
"105",12,NA
"106",8,NA
"107",12,NA
"108",13,NA
"109",16,NA
"110",13,NA
"111",3,NA
"112",12,NA
"113",10,NA
"114",14,NA
"115",12,NA
"116",14,NA
"117",8,NA
"118",11,NA
"119",2,NA
"120",12,NA
"121",12,NA
"122",6,NA
"123",3,NA
"124",8,NA
"125",8,NA
"126",12,NA
"127",16,NA
"128",12,NA
"129",9,NA
"130",12,NA
"131",6,NA
"132",12,NA
"133",15,NA
"134",8,NA
"135",11,NA
"136",4,NA
"137",13,NA
"138",8,NA
"139",11,NA
"140",12,NA
"141",12,NA
"142",12,NA
"143",14,NA
"144",10,NA
"145",5,NA
"146",16,NA
"147",12,NA
"148",2,NA
"149",10,NA
"150",12,NA
"151",12,NA
"152",12,NA
"153",10,NA
"154",11,NA
"155",12,NA
"156",12,NA
"157",11,NA
"158",12,NA
"159",12,NA
"160",9,NA
"161",12,NA
"162",9,NA
"163",8,NA
"164",10,NA
"165",18,NA
"166",18,NA
