"","mean_acc","sd_acc","max_acc","min_acc","median_acc","mean_gyro","sd_gyro","max_gyro","min_gyro","median_gyro"
"351",12613.3702391708,303.406512785764,12915.9555202083,12199.1107052932,12676.6778771096,13939.361030836,941.470825364179,14780.2213109277,12461.7537289099,14125.6679134121
"352",12675.5472695152,176.748473418199,12948.45581527,12459.0305401343,12661.6859461922,14077.4255431307,1158.24105738635,15766.6937878555,12696.2084891514,14191.539944629
"353",12755.7796069718,203.79652340597,13041.0536767548,12536.5894484904,12702.3127815371,13272.2164898491,204.814082085788,13607.6796699511,13058.0420048336,13208.8201971259
"354",12786.5971360711,113.457480027772,12975.473979782,12676.3608342458,12762.0178263471,14198.1917258978,942.017857212926,15287.1404127783,12814.9764338449,14251.6813394069
"355",12907.4492697173,493.359592074168,13732.6805103738,12570.4532137867,12662.0082135497,14149.3254661851,502.815139942733,14666.7756852009,13355.3251177199,14340.5429116195
"356",12533.3933391762,377.116370458703,12893.0479328978,12123.9574809548,12651.9771182215,13991.4943702357,589.373913214624,14750.4089434836,13262.9134431316,14091.8366439581
"357",12715.3415321888,151.794761908509,12923.1373899684,12497.509111819,12731.8569344774,14158.4613612918,240.802493914077,14507.0343626807,13976.7134191125,14075.048831687
"358",12997.4938622533,150.308435754939,13216.9925853047,12850.7165948051,13010.5684349301,14546.5645866198,670.181810498177,15696.5256028205,14120.1451479792,14168.5461498349
"359",12988.2836116769,89.1769494114489,13050.7938838984,12831.1227100359,13021.0741492398,14236.991668947,117.576668251152,14357.0479207949,14063.6964557687,14277.2575447808
"360",13022.3287206019,20.9013333254986,13046.9225106919,13004.39733321,13009.2315299559,14151.8607621229,102.713007250729,14325.7261596053,14065.9183489739,14136.6964316279
"361",13018.9147700367,31.2971747840688,13062.6751471511,12985.9539503265,13011.1148254098,14203.3373699388,60.5883208542654,14278.8287334781,14140.684460096,14211.6313630772
"362",13031.3983229192,25.4938575821388,13059.6328432311,12997.2106622921,13041.2172361325,14208.6892555343,84.1222300084445,14313.1475574033,14124.7389002417,14161.7264837307
"363",13030.993530358,56.5421498481421,13095.9148592223,12966.5380884799,13056.3494898076,14221.8392129776,80.557434586584,14278.8287334781,14080.4880952331,14248.1721634742
"364",13115.2925706042,82.2100013207139,13220.9901671547,13039.7516080637,13090.1760492363,14103.6996845402,217.978233723214,14342.9850449619,13866.5582607942,14071.0322649051
"365",13042.9392955705,217.552671965375,13281.7167941498,12827.9647645291,12945.5249410752,14280.8364902594,299.869009896182,14637.4993766012,13902.1405905709,14256.1482175236
"366",13120.5901031587,131.290445649798,13272.1226636887,12968.6286861796,13166.1972110401,14041.2052178106,313.552290951395,14448.0741277168,13740.4411137343,13945.4985927359
"367",13116.6135734926,161.090671938212,13301.2530988625,12932.8639519636,13140.6977364218,14427.3854308345,296.289196026795,14802.2722917801,14001.5743043416,14499.3992634178
"368",13172.244455548,179.707412497593,13309.8290747853,12888.5932126047,13256.877648979,13959.040831094,760.078512269627,14907.7633801989,13094.4747508252,14185.4858922774
"369",12977.1118617272,428.676929952552,13522.1689828222,12421.9598292701,12941.5876151267,13272.1554200705,1188.49774163338,14311.5879622074,11383.1234290066,13320.4385062955
"370",12705.6465839172,1136.68315978635,13660.1618584847,10785.8816978493,12879.0450732964,14547.6146546684,900.294853976973,15471.2487537367,13591.1322927856,14712.5945366546
"371",13105.4048726159,433.014614095209,13604.1348493758,12636.6733359694,13221.1333099701,13011.8449841533,980.723781426727,13792.1909064514,11454.1488553275,13422.1546332919
"372",13081.6618681496,359.080714117095,13623.5286177994,12690.5878902437,13067.5312511583,13689.0561199068,1101.65826486876,15289.9736428811,12614.2511866539,13410.8652219012
"373",13282.0553055052,303.485711155781,13666.2021790986,12901.0703819489,13346.8894503551,13441.4066704004,713.331550643655,14388.1551631889,12507.8599688356,13349.7715336256
"374",13222.7562315232,360.576000509307,13669.4909927181,12698.2056212679,13181.831018489,14376.9227275309,556.784682028188,15101.6837140764,13935.2439878174,14235.3816041149
"375",13202.4030947646,311.132454412714,13563.5614054716,12758.3113302662,13214.5232604131,14368.5086530915,698.869521114592,15174.6113294542,13542.5718384655,14522.3350050879
"376",13330.9938000018,215.275707850572,13560.9812329344,12983.5001444141,13396.7665128567,14612.8315128985,523.71411051219,15168.4071016043,13795.8078415148,14671.3056678675
"377",13233.7320696056,166.79519586704,13426.4311713873,13091.7359429527,13138.3979616999,14486.2266011441,1036.74096349097,15647.5475714247,13205.6825268518,14162.4160721255
"378",12957.6879930083,377.6762433756,13348.1482610885,12392.7397293738,13031.8582711753,14179.7466596267,1179.10085913292,15137.2147371965,12164.6192295526,14649.8643338428
"379",13450.3038163507,243.872527825691,13764.7074796379,13245.8336845968,13323.8247136474,13769.2910069693,1442.00674642769,15338.9617966797,11576.434252394,13686.8636655736
"380",12969.8012253232,239.439907921798,13243.8119134938,12618.7055596048,13036.9306970621,13787.810069707,788.916885423842,14661.176282959,12564.6949027822,13744.8688971558
"381",13190.2389476901,320.347278042196,13463.0075020405,12716.4610643056,13316.1107309905,14491.4742836998,781.657921398662,15298.1840098752,13285.8097984278,14690.9867946302
"382",12995.5513450217,193.319809202531,13317.7200000601,12846.1716086934,12924.0407380974,13920.4518818943,968.457151779624,14869.4206006825,12391.8096337863,14342.6897756313
"383",12991.5108966763,410.184137828736,13444.5040444042,12664.8499398927,12746.7541358575,15366.9762257883,1144.08635822306,16445.4295778493,14110.3081114482,15922.6740844621
"384",14226.0754671745,1752.86030613347,15563.8340392077,11201.0430317895,14924.7460614913,15232.3584015858,1769.09451614334,16456.8112646405,12104.9800495499,15802.5591914728
"385",13484.9060488841,256.848332603238,13772.2277791213,13213.6760592955,13347.175581373,15183.6432916389,615.16907459226,15837.2520975073,14247.4763379344,15344.6919812683
"387",13467.3152526494,592.652813370061,14075.8294249398,12671.1026749845,13729.5015568665,12752.9562770447,958.474436139397,13688.2224558195,11356.7538495822,13158.0418755984
"388",13093.9444450856,375.33396630884,13711.4604619639,12769.7537955906,13001.1277203172,14449.8828151416,936.311398970798,15770.9633504108,13336.7331832049,14164.5970998119
"389",12778.0699087842,380.42542998478,13183.3434681798,12368.2161607889,12757.9662956131,15665.076868982,1342.84897181593,17044.8211782934,14068.1466441035,15827.1744161742
"390",13634.2470952726,1133.37634143048,15660.9247811232,13077.5770309335,13151.2054960753,14628.2704547368,452.947434965735,15202.3334064215,14061.4057974301,14557.2726154318
"391",12728.2452383671,384.278466714268,13195.8787505797,12239.2363323861,12854.266684646,15137.8736192505,353.275223398967,15646.5232240265,14840.1548509441,15032.4082010156
"392",12830.992795769,477.348241492642,13438.8849611863,12157.9587513694,12948.2728191833,13779.9989015441,987.102498124873,15010.465515766,12455.154435012,14106.3143662687
"393",12925.3011450232,411.970736919485,13329.5175081471,12326.8094006519,12970.9591781024,13809.6494898073,517.435706955895,14695.7047466258,13436.3812836641,13580.8705170177
"394",12897.6422033392,218.132971614093,13054.9709689451,12522.0898016266,13007.6047756687,14332.5452433085,601.048093452047,14755.350148336,13274.0047084518,14536.539718929
"395",12794.2819868021,206.527312067457,13067.457824688,12537.9208403946,12836.628698522,14054.4913534282,580.944055410201,14639.8946717523,13264.6028587365,14058.7332644161
"396",12815.6882926453,264.673822264086,13095.9429213784,12560.4093086173,12778.397552119,13637.940934845,690.512543041264,14371.8669629245,12872.7709915154,13967.3917393334
"397",12683.7045643767,214.604646997436,12969.972744767,12441.2742916471,12600.4491189798,14082.4169606617,882.32969041241,15227.1012999848,12838.5898758392,14140.1168312005
"398",12871.8244845295,248.492050844679,13188.4700401525,12565.2489430174,12825.2297445309,13648.3804113968,891.983846406436,14742.6561378878,12689.5372650069,13728.6976439865
"399",12738.2947514902,450.28549854286,13197.7590143175,12160.5712859224,12831.2420677033,14891.4215470989,972.780876275391,15820.2979744378,13572.9801075519,15444.5937466804
"400",12737.446408038,356.658103719612,13247.0840565009,12341.196214306,12804.6249456983,14279.6076424347,1149.83888986707,15699.2294078404,12595.4947501081,14291.2601963578
"401",12765.2394040843,170.039541035617,13016.8412835065,12573.3659375682,12722.7197171045,13791.6419694943,757.145614530856,14327.4281711688,12528.5195853301,14219.6305507562
"402",12828.1551486201,37.5912711133902,12875.8375649897,12791.2409093098,12826.6407917272,13704.8793234248,662.595399135546,14128.5431308398,12529.0713941617,13976.2473146407
"403",12914.2301616368,80.2537559127593,13045.3748892088,12834.4727199835,12886.6112690653,14247.3016539374,105.153350598858,14380.2896007,14104.3097668762,14265.3539738767
"404",13006.9747735737,90.8614303352018,13128.3212178862,12891.1607700781,13005.8695211047,14196.4425971532,30.1368904786611,14232.0111368703,14165.867710804,14185.000281988
"405",12984.2066706882,75.0777335149539,13097.958695919,12914.0614835148,12963.0673067758,14267.4588213061,70.16749901288,14384.9316300078,14197.7075966509,14250.9752648722
"406",13005.2130628289,21.1302633643669,13036.3073759405,12980.3952559234,13003.1947612885,14199.7551802098,101.980525739783,14310.065129132,14041.2206378221,14214.3791281927
