1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1419950943.80533,Acceleration,-0.0002441406,0.0070343018,-1.0033111572,,,,,,,,,,,,,,,,
1419950943.80548,Acceleration,0.004989624,0.0076751709,-1.0040283203,,,,,,,,,,,,,,,,
1419950943.80683,Acceleration,0.004486084,0.0085906982,-1.0025634766,,,,,,,,,,,,,,,,
1419950943.80729,Acceleration,0.0035705566,0.0078582764,-0.9994659424,,,,,,,,,,,,,,,,
1419950943.80745,Acceleration,0.0033569336,0.006942749,-1.001159668,,,,,,,,,,,,,,,,
1419950943.80758,Acceleration,0.002532959,0.002166748,-0.9992828369,,,,,,,,,,,,,,,,
1419950943.80769,Acceleration,0.0052947998,0.0048065186,-1.0043182373,,,,,,,,,,,,,,,,
1419950943.8078,Acceleration,0.0009765625,0.0056152344,-1.0052490234,,,,,,,,,,,,,,,,
1419950943.80791,Acceleration,-0.0001678467,0.0044403076,-1.004776001,,,,,,,,,,,,,,,,
1419950943.80804,Acceleration,-0.0009765625,0.0081787109,-1.0003814697,,,,,,,,,,,,,,,,
1419950943.80815,Acceleration,0.0016174316,0.0081634521,-1.0018310547,,,,,,,,,,,,,,,,
1419950943.80827,Acceleration,0.0018615723,0.0077514648,-1.006149292,,,,,,,,,,,,,,,,
1419950943.80838,Acceleration,0.0045318604,0.0066986084,-1.0028381348,,,,,,,,,,,,,,,,
1419950943.80849,Acceleration,0.0039978027,0.0088500977,-1.0037689209,,,,,,,,,,,,,,,,
1419950943.8086,Acceleration,0.00440979,0.0030975342,-0.9995422363,,,,,,,,,,,,,,,,
1419950943.80884,Acceleration,0.0021820068,0.0053100586,-1.0028381348,,,,,,,,,,,,,,,,
1419950943.80899,Acceleration,0.0024108887,0.0066986084,-1.0009002686,,,,,,,,,,,,,,,,
1419950943.80912,Acceleration,0.0019683838,0.0043945313,-1.0033416748,,,,,,,,,,,,,,,,
1419950943.80925,Acceleration,6.103515625E-005,0.0052490234,-0.9968566895,,,,,,,,,,,,,,,,
1419950943.80794,Acceleration,0.0026092529,0.0076141357,-0.9989929199,,,,,,,,,,,,,,,,
1419950943.81498,Acceleration,0.0017242432,0.0046234131,-1.0033416748,,,,,,,,,,,,,,,,
1419950943.81503,Acceleration,-0.002532959,0.0037231445,-1.0021362305,,,,,,,,,,,,,,,,
1419950943.83453,Acceleration,0.0015258789,0.0041503906,-1.0035858154,,,,,,,,,,,,,,,,
1419950943.83451,Acceleration,0.0040435791,0.0065307617,-1.0073852539,,,,,,,,,,,,,,,,
1419950943.85487,Acceleration,0.0029449463,0.0038757324,-1.0028839111,,,,,,,,,,,,,,,,
1419950943.85492,Acceleration,0.0035858154,0.0073852539,-1.0001831055,,,,,,,,,,,,,,,,
1419950943.87366,Acceleration,0.004486084,0.0083465576,-1.0025634766,,,,,,,,,,,,,,,,
1419950943.87366,Acceleration,0.0045166016,0.0071716309,-1.002822876,,,,,,,,,,,,,,,,
1419950943.89324,Acceleration,0.0025939941,0.0077056885,-1.0045013428,,,,,,,,,,,,,,,,
1419950943.89323,Acceleration,0.0045318604,0.006729126,-1.0040435791,,,,,,,,,,,,,,,,
1419950943.91264,Acceleration,-0.0012969971,0.0033721924,-0.9971160889,,,,,,,,,,,,,,,,
1419950943.91262,Acceleration,-0.001083374,0.0036773682,-1.0004577637,,,,,,,,,,,,,,,,
1419950943.93215,Acceleration,0.0003356934,0.0038909912,-1.0014343262,,,,,,,,,,,,,,,,
1419950943.93217,Acceleration,0.00340271,0.0044250488,-1.0074157715,,,,,,,,,,,,,,,,
1419950943.95165,Acceleration,-0.00050354,0.0082092285,-1.0025482178,,,,,,,,,,,,,,,,
1419950943.95167,Acceleration,0.0039825439,0.0095672607,-1.0032806396,,,,,,,,,,,,,,,,
1419950943.97161,Acceleration,0.0039978027,0.0095214844,-1.0003967285,,,,,,,,,,,,,,,,
1419950943.97165,Acceleration,0.0030212402,0.0100402832,-1.003036499,,,,,,,,,,,,,,,,
1419950943.99069,Acceleration,0.003112793,0.0062866211,-1.0052490234,,,,,,,,,,,,,,,,
