1410881006.452884,Activity,2,(null),Shake
1410881006.452884,Activity,2,(null),Shake
1410881007.791393,Acceleration,-0.048675537109375,-0.4465789794921875,-1.0218505859375,Shake
1410881007.938806,Gyro,2.558943873457276,-0.7048852110060637,-0.02636183268236736,Shake
1410881007.960985,Motion,2.427295446395874,-0.7187070250511169,0.01213951595127583,-0.0517419886637021,0.424513350191686,0.01071158147278929,2.427295446395874,-0.7187070250511169,0.01213951595127583,-0.04712829738855362,-0.4118773639202118,-0.9100197553634644,0.005532837938517332,-0.01753546483814716,-0.03456032648682594,-1,0,0,0,Shake
1410881008.040705,Acceleration,-0.002288818359375,-0.28570556640625,0.4612274169921875,Shake
1410881008.194577,Gyro,4.521424351259468,-1.54598312228641,1.076064885832512,Shake
1410881008.205588,Motion,4.38979434967041,-1.559804439544678,1.114563345909119,0.001831815183909639,0.3013442275588122,-0.05322462713810916,4.38979434967041,-1.559804439544678,1.114563345909119,0.001749269664287567,-0.2968041300773621,-0.9549368023872375,1.131520986557007,-0.2160285115242004,-2.673511743545532,-1,0,0,0,Shake
1410881008.258663,Magnetic,64.59219360351562,123.7725219726562,-40.31684875488281,Shake
1410881008.289047,Acceleration,-0.1235809326171875,0.0635223388671875,0.6171875,Shake
1410881008.441698,Gyro,-1.956316591459203,1.716059513717705,-2.214531364431106,Shake
1410881008.456287,Motion,-2.087939739227295,1.70223867893219,-2.176034927368164,0.06089844165696084,0.1438574216712792,-0.08770270226252391,-2.087939739227295,1.70223867893219,-2.176034927368164,0.06023213639855385,-0.1433617472648621,-0.9878357648849487,-0.6510677337646484,0.3111779093742371,-4.464297294616699,-1,0,0,0,Shake
1410881008.501111,Magnetic,64.41288757324219,125.3810272216797,-35.32084655761719,Shake
1410881008.537621,Acceleration,-0.5100860595703125,-0.3414764404296875,-1.20062255859375,Shake
1410881008.694582,Gyro,-17.17226937013152,5.485221817126926,1.755177089073225,Shake
1410881008.705604,Motion,-17.30388641357422,5.471401691436768,1.793671607971191,0.07172281162251977,0.374348443205015,-0.1247530347364547,-17.30388641357422,5.471401691436768,1.793671607971191,0.06669850647449493,-0.3656661808490753,-0.9283531308174133,0.6265540719032288,2.186711072921753,0.6097953915596008,-1,0,0,0,Shake
1410881008.744038,Magnetic,62.44050598144531,123.7725219726562,-34.11491394042969,Shake
1410881008.787144,Acceleration,0.491485595703125,-0.49896240234375,-1.850143432617188,Shake
1410881008.949019,Gyro,-9.646831267195751,1.88992877917349,-0.6618029877357429,Shake
1410881008.958755,Motion,-9.778525352478027,1.876060247421265,-0.6233453750610352,-0.1240341633526194,1.006338995246625,-0.2125119002907121,-9.778525352478027,1.876060247421265,-0.6233453750610352,-0.06618299335241318,-0.8448790311813354,-0.5308476686477661,0.8263148069381714,1.469955325126648,4.048929214477539,-1,0,0,0,Shake
1410881008.996086,Magnetic,62.61981201171875,123.5937957763672,-34.63174438476562,Shake
1410881009.034549,Acceleration,1.223724365234375,-0.303131103515625,-5.15753173828125,Shake
